query_id,rank,statute_id,title_list,section_list,heading_list,content_list,distance_list,relevance,rhwc
16,10,573,Housing Act 1988,s.8(4F),Notice of proceedings for possession,"Where the landlord proposes to rely on conditionÃ‚Â 4 in GroundÃ‚Â 7A, the notice must be served on the tenant withinÃ¢Â€Â” (a) the period ofÃ‚Â 3Ã‚Â months beginning with the day on which the closure order was made, or (b) if there is an appeal against the making of the order, the period ofÃ‚Â 3Ã‚Â months beginning with the day on which the appeal is finally determined, abandoned or withdrawn.",0.384585083,SR,
17,1,460,Housing Act 1985,s.84A(7),Absolute ground for possession for anti-social behaviour,"Condition 5 is thatÃ¢Â€Â” (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence underÃ¢Â€Â”     (i) section 80(4) of the Environmental Protection Act 1990 (breach of abatement notice in relation to statutory nuisance), or     (ii) section 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwelling-house which was a statutory nuisance for the purposes of Part 3 of that Act by virtue of section 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance).",0.419093728,NR,
17,2,458,Housing Act 1985,s.84A(5),Absolute ground for possession for anti-social behaviour,"Condition 3 is that the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence under section 30 of the Anti-social Behaviour, Crime and Policing Act 2014 consisting of a breach of a provision of a criminal behaviour order prohibiting a person from doing anything described in the order, and the offence involvedÃ¢Â€Â” (a) a breach that occurred in, or in the locality of, the dwelling-house, or (b) a breach that occurred elsewhere of a provision intended to preventÃ¢Â€Â”     (i) behaviour that causes or is likely to cause harassment, alarm or distress to a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (ii) behaviour that causes or is likely to cause harassment, alarm or distress to the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and that is directly or indirectly related to or affects those functions.",0.427567601,NR,
17,3,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.432066262,NR,
17,4,796,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(27),Explosions,27. An explosion at the dwelling or HMO.,0.435813397,NR,
17,5,360,"Anti-social Behaviour, Crime and Policing Act 2014",s.5(3),Applications for Injunctions,A housing provider may make an application only if the application concerns anti-social behaviour that directly or indirectly relates to or affects its housing management functions.,0.438110232,NR,
17,6,459,Housing Act 1985,s.84A(6),Absolute ground for possession for anti-social behaviour,"Condition 4 is thatÃ¢Â€Â” (a) the dwelling-house is or has been subject to a closure order under section 80 of the Anti-social Behaviour, Crime and Policing Act 2014, and (b) access to the dwelling-house has been prohibited (under the closure order or under a closure notice issued under section 76 of that Act) for a continuous period of more than 48 hours.",0.438569248,NR,
17,7,457,Housing Act 1985,s.84A(4),Absolute ground for possession for anti-social behaviour,"Condition 2 is that a court has found in relevant proceedings that the tenant, or a person residing in or visiting the dwelling-house, has breached a provision of an injunction under sectionÃ‚Â 1 of the Anti-social Behaviour, Crime and Policing ActÃ‚Â 2014, other than a provision requiring a person to participate in a particular activity, andÃ¢Â€Â” (a) the breach occurred in, or in the locality of, the dwelling-house, or (b) the breach occurred elsewhere and the provision breached was a provision intended to preventÃ¢Â€Â”     (i) conduct that is capable of causing nuisance or annoyance to a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (ii) conduct that is capable of causing nuisance or annoyance to the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and that is directly or indirectly related to or affects those functions.",0.43884638,NR,
17,8,456,Housing Act 1985,s.84A(3),Absolute ground for possession for anti-social behaviour,"Condition 1 is thatÃ¢Â€Â” (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of a serious offence, and (b) the serious offenceÃ¢Â€Â”     (i) was committed (wholly or partly) in, or in the locality of, the dwelling-house,     (ii) was committed elsewhere against a person with a right (of whatever description) to reside in, or occupy housing accommodation in the locality of, the dwelling-house, or     (iii) was committed elsewhere against the landlord of the dwelling-house, or a person employed (whether or not by the landlord) in connection with the exercise of the landlord's housing management functions, and directly or indirectly related to or affected those functions.",0.450573564,NR,
17,9,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"Domestic hygiene, pests and refuse","(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste.",0.453321815,NR,
17,10,766,Environmental Protection Act 1990,s.79(1)(a),Statutory nuisances and inspections therefor,Any premises in such a state as to be prejudicial to health or a nuisance;,0.453573585,NR,
18,1,770,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(1),Damp and mould growth,"1. Exposure to house dust mites, damp, mould or fungal growths.",0.423768759,MR,
18,2,780,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(11),Crowding and space,11. A lack of adequate space for living and sleeping.,0.438790619,NR,
18,3,774,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(5),Biocides,5. Exposure to chemicals used to treat timber and mould growth.,0.472045779,NR,
18,4,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"Domestic hygiene, pests and refuse","(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste.",0.472660273,VR,
18,5,782,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(13),Lighting,13. A lack of adequate lighting.,0.496640801,NR,
18,6,788,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(19),Falls associated with baths etc,"19. Falls associated with toilets, baths, showers or other washing facilities.",0.49714309,NR,
18,7,793,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(24),Fire,24. Exposure to uncontrolled fire and associated smoke.,0.49842751,NR,
18,8,1138,Rent Act 1977,s.70(1)(b),Determination of fair rent,"(1)(b) if any furniture is provided for use under the tenancy, the quantity, quality and condition of the furniture;",0.500410616,NR,
18,9,460,Housing Act 1985,s.84A(7),Absolute ground for possession for anti-social behaviour,"Condition 5 is thatÃ¢Â€Â” (a) the tenant, or a person residing in or visiting the dwelling-house, has been convicted of an offence underÃ¢Â€Â”     (i) section 80(4) of the Environmental Protection Act 1990 (breach of abatement notice in relation to statutory nuisance), or     (ii) section 82(8) of that Act (breach of court order to abate statutory nuisance etc.), and (b) the nuisance concerned was noise emitted from the dwelling-house which was a statutory nuisance for the purposes of Part 3 of that Act by virtue of section 79(1)(g) of that Act (noise emitted from premises so as to be prejudicial to health or a nuisance).",0.501310587,NR,
18,10,772,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(3),Excess heat,3. Exposure to high temperatures.,0.501431108,NR,
19,1,978,Housing Act 1985,s.121AA(2),Information to help tenants decide whether to exercise right to buy etc.,The matters that may be so specified are matters which the Secretary of State considers that it would be desirable for secure tenants to have information about when considering whether to exercise the right to buy or the right to acquire on rent to mortgage terms.,0.297591627,MR,
19,2,1040,Housing Act 1985,s.143(3),Right to acquire on rent to mortgage terms,"Where the right to buy belongs to two or more persons jointly, the right to acquire on rent to mortgage terms also belongs to them jointly.",0.303508282,MR,
19,3,965,Housing Act 1985,s.121(2),Circumstances in which the right to buy cannot be exercised,"The right to buy cannot be exercised if the person, or one of the persons, to whom the right to buy belongsÃ¢Â€Â” (a) has made a bankruptcy application that has not been determined or has a bankruptcy petition pending against him, (b) is an undischarged bankrupt, (c) has made a composition or arrangement with his creditors the terms of which remain to be fulfilled, or (d) is a person in relation to whom a moratorium period under a debt relief order applies (under Part 7A of the Insolvency Act 1986).",0.309054106,VR,
19,4,989,Housing Act 1985,s.122(1),TenantÃ¢Â€Â™s notice claiming to exercise right to buy,A secure tenant claims to exercise the right to buy by written notice to that effect served on the landlord.,0.311069191,VR,
19,5,994,Housing Act 1985,s.123(3),Claim to share right to buy with members of family,"Where by such a notice any members of the tenantÃ¢Â€Â™s family are validly required to share the right to buy with the tenant, the right to buy belongs to the tenant and those members jointly and he and they shall be treated for the purposes of this Part as joint tenants.",0.312151015,VR,
19,6,959,Housing Act 1985,s.118(1),The right to buy,"A secure tenant of a dwellingÃ¢Â€Â‘house in England has the right to buy, that is to say, the right, in the circumstances and subject to the conditions and exceptions stated in the following provisions of this PartÃ¢Â€Â” (a) if the dwellingÃ¢Â€Â‘house is a house and the landlord owns the freehold, to acquire the freehold of the dwellingÃ¢Â€Â‘house; (b) if the landlord does not own the freehold or if the dwellingÃ¢Â€Â‘house is a flat (whether or not the landlord owns the freehold), to be granted a lease of the dwellingÃ¢Â€Â‘house.",0.317625761,VR,
19,7,962,Housing Act 1985,s.119(1),Qualifying period for right to buy,"The right to buy does not arise unless the period which, in accordance with Schedule 4, is to be taken into account for the purposes of this section is at least three years.",0.320166677,VR,
19,8,1019,Housing Act 1985,s.129(1),Discount,"Subject to the following provisions of this Part, a person exercising the right to buy is entitled to a discount of a percentage calculated by reference to the period which is to be taken into account in accordance with Schedule 4 (qualifying period for right to buy and discount).",0.328891367,MR,
19,9,1038,Housing Act 1985,s.143(1),Right to acquire on rent to mortgage terms,"Subject to subsection (2) and sections 142A, 143A and 143B, whereÃ¢Â€Â” (a) a secure tenant has claimed to exercise the right to buy, and (b) his right to buy has been established and his notice claiming to exercise it remains in force, he also has the right to acquire on rent to mortgage terms in accordance with the following provisions of this Part.",0.330934197,MR,
19,10,990,Housing Act 1985,s.122(2),TenantÃ¢Â€Â™s notice claiming to exercise right to buy,"In this Part Ã¢Â€Âœthe relevant timeÃ¢Â€Â, in relation to an exercise of the right to buy, means the date on which that notice is served.",0.333239406,MR,
20,1,780,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(11),Crowding and space,11. A lack of adequate space for living and sleeping.,0.375816703,VR,
20,2,139,Housing Act 1996,s.193c(7),Notice under section 193B: consequences,"An offer is Ã¢Â€Âœa final accommodation offerÃ¢Â€Â ifÃ¢Â€Â”  (a)it is an offer of an assured shorthold tenancy made by a private landlord to the applicant in relation to any accommodation which is, or may become, available for the applicant's occupation,  (b)it is made, with the approval of the authority, in pursuance of arrangements made by the authority with a view to bringing the authority's duty under subsection (4) to an end, and  (c)the tenancy being offered is a fixed term tenancy (within the meaning of Part 1 of the Housing Act 1988) for a period of at least 6 months.",0.386865735,MR,
20,3,121,Housing Act 1996,s.193a(4),Consequences of refusal of final accommodation offer or final Part 6 offer at the initial relief stage,"An offer is a final accommodation offer if - (a) it is an offer of an assured shorthold tenancy made by a private landlord to the applicant in relation to any accommodation which is, or may become, available for the applicant's occupation, (b) it is made, with the approval of the authority, in pursuance of arrangements made by the authority in the discharge of their duty under s.189b.2 and (c) the tenancy being offered is a fixed term tenance (within the meaning of Part 1 of the Housing Act 1988) for a period of at least 6 months.",0.387673497,MR,
20,4,85,Housing Act 1996,s.189b(7)(c),Initial duty owed to all eligible persons who are homeless,"The applicant has refused an offer of suitable accommodation and, on the date of refusal, there was a reasonable prospect that suitable accommodation would be available for occupation by the applicant for at least 6 months or such longer period not exceeding 12 months as may be prescribed,",0.394345582,MR,
20,5,111,Housing Act 1996,s.193(7)(ac),Duty to persons with priority need who are not homeless intentionally,"For the purposes of this section an offer is a private rented sector offer if - (a) it is an offer of an assured shorthold tenancy made by a private landlord to the applicant in relation to any accommodation which is, or may become, available for the applicant's occupation, (b) it is made, with the approval of the authority, in pursuance of arrangements made by the authority with the landlord with a view to bringing the authority's duty under this section to and end, and (c) the tenancy being offered is a fixed term tenancy, (within the meaning of Part 1 of the Housing Act 1988), for a period of at least 12 months.",0.395489991,SR,
20,6,7,Housing Act 1996,s.177(1),Whether it is reasonable to continue to occupy accommodation,"It is not reasonable for a person to continue to occupy accommodation if it is probably that this will lead to violence or domestic abuse against him, or against a person who normally resides with him as a member of his family, or any other person who might reasonably be expected to reside with him.",0.399993837,NR,
20,7,632,Regulatory Reform (Housing Assistance) Order 2002,s.3(2)(a),Power of local housing authorities to provide assistance,(2)(a) have acquired or propose to acquire (whether compulsorily or otherwise) his existing living accommodation;,0.411758006,SR,
20,8,113,Housing Act 1996,s.193(7)(f),Duty to persons with priority need who are not homeless intentionally,The local housing authority shall not - (a) make a final offer of accommodation under Part 6 for the purposes of s.193.7; or (ab) approve a private rented sector offer; or (b) unless they are satisfied that the accommodation is suitable for the applicant and that s.193.8 does not apply to the applicant.,0.414552599,VR,
20,9,124,Housing Act 1996,s.193a(7),Consequences of refusal of final accommodation offer or final Part 6 offer at the initial relief stage,"This subsection applies to an applicant ifÃ¢Â€Â” (a) the applicant is under contractual or other obligations in respect of the applicant's existing accommodation, and (b) the applicant is not able to bring those obligations to an end before being required to take up the offer.",0.418176293,SR,
20,10,784,The Housing Health and Safety Rating System (England) Regulations 2005,Sch 1(15),"Domestic hygiene, pests and refuse","(1) Poor design, layout or construction such that the dwelling or HMO cannot readily be kept clean. (2) Exposure to pests. (3) An inadequate provision for the hygienic storage and disposal of household waste.",0.420242429,NR,
